,City,Country,Temparature-in-Celcius,Extraction-Datetime
0,Tirana,Albania,25 °C,2023-08-05 13:29:58.652452
1,Algiers,Algeria,24 °C,2023-08-05 13:29:58.652452
2,Luanda,Angola,22 °C,2023-08-05 13:29:58.652452
3,Saint John's,Antigua and Barbuda,28 °C,2023-08-05 13:29:58.652452
4,Buenos Aires,Argentina,10 °C,2023-08-05 13:29:58.652452
5,Yerevan,Armenia,24 °C,2023-08-05 13:29:58.652452
6,Aruba,Aruba,28 °C,2023-08-05 13:29:58.652452
7,Australian Capital Territory,Australia,13 °C,2023-08-05 13:29:58.652452
8,Vienna,Austria,18 °C,2023-08-05 13:29:58.652452
9,Baku,Azerbaijan,31 °C,2023-08-05 13:29:58.652452
10,Nassau,Bahamas,28 °C,2023-08-05 13:29:58.652452
11,Manama,Bahrain,38 °C,2023-08-05 13:29:58.652452
12,Dhaka,Bangladesh,28 °C,2023-08-05 13:29:58.652452
13,Bridgetown,Barbados,27 °C,2023-08-05 13:29:58.652452
14,Minsk,Belarus,22 °C,2023-08-05 13:29:58.652452
15,Brussels,Belgium,15 °C,2023-08-05 13:29:58.652452
16,Belmopan,Belize,28 °C,2023-08-05 13:29:58.652452
17,Porto Novo,Benin,26 °C,2023-08-05 13:29:58.652452
18,Hamilton,Bermuda,25 °C,2023-08-05 13:29:58.652452
19,Sarajevo,Bosnia-Herzegovina,19 °C,2023-08-05 13:29:58.652452
20,Gaborone,Botswana,12 °C,2023-08-05 13:29:58.652958
21,Distrito Federal,Brazil,13 °C,2023-08-05 13:29:58.652958
22,Tortola,British Virgin Islands,28 °C,2023-08-05 13:29:58.652958
23,Bandar Seri Begawan,Brunei,31 °C,2023-08-05 13:29:58.652958
24,Sofia,Bulgaria,25 °C,2023-08-05 13:29:58.652958
25,Gitega,Burundi,26 °C,2023-08-05 13:29:58.652958
26,Praia,Cabo Verde,26 °C,2023-08-05 13:29:58.652958
27,Phnom Penh,Cambodia,35 °C,2023-08-05 13:29:58.652958
28,Yaoundé,Cameroon,22 °C,2023-08-05 13:29:58.652958
29,Ontario,Canada,16 °C,2023-08-05 13:29:58.652958
30,Bangui,Central African Republic,25 °C,2023-08-05 13:29:58.652958
31,N'Djamena,Chad,26 °C,2023-08-05 13:29:58.652958
32,Santiago,Chile,6 °C,2023-08-05 13:29:58.652958
33,Beijing Municipality,China,36 °C,2023-08-05 13:29:58.652958
34,Bogota,Colombia,11 °C,2023-08-05 13:29:58.652958
35,Moroni,Comoros,30 °C,2023-08-05 13:29:58.652958
36,Brazzaville,Congo,23 °C,2023-08-05 13:29:58.652958
37,Kinshasa,Congo Dem. Rep.,23 °C,2023-08-05 13:29:58.652958
38,Rarotonga,Cook Islands,22 °C,2023-08-05 13:29:58.652958
39,San Jose,Costa Rica,24 °C,2023-08-05 13:29:58.652958
40,Yamoussoukro,Cote d'Ivoire (Ivory Coast),23 °C,2023-08-05 13:29:58.652958
41,Zagreb,Croatia,18 °C,2023-08-05 13:29:58.652958
42,Havana,Cuba,25 °C,2023-08-05 13:29:58.652958
43,Nicosia,Cyprus,32 °C,2023-08-05 13:29:58.652958
44,Northern Cyprus,Cyprus,32 °C,2023-08-05 13:29:58.652958
45,Prague,Czechia,16 °C,2023-08-05 13:29:58.652958
46,Copenhagen,Denmark,16 °C,2023-08-05 13:29:58.652958
47,Djibouti,Djibouti,40 °C,2023-08-05 13:29:58.652958
48,Roseau,Dominica,27 °C,2023-08-05 13:29:58.652958
49,Santo Domingo,Dominican Republic,26 °C,2023-08-05 13:29:58.652958
50,Cairo,Egypt,29 °C,2023-08-05 13:29:58.652958
51,San Salvador,El Salvador,27 °C,2023-08-05 13:29:58.652958
52,Malabo,Equatorial Guinea,26 °C,2023-08-05 13:29:58.652958
53,Tallinn,Estonia,19 °C,2023-08-05 13:29:58.652958
54,Addis Ababa,Ethiopia,16 °C,2023-08-05 13:29:58.652958
55,Stanley,Falkland Islands,0 °C,2023-08-05 13:29:58.652958
56,Suva,Fiji,21 °C,2023-08-05 13:29:58.652958
57,Helsinki,Finland,19 °C,2023-08-05 13:29:58.652958
58,Paris,France,14 °C,2023-08-05 13:29:58.652958
59,Libreville,Gabon,24 °C,2023-08-05 13:29:58.652958
60,Banjul,Gambia,27 °C,2023-08-05 13:29:58.652958
61,Tbilisi,Georgia,25 °C,2023-08-05 13:29:58.652958
62,Berlin,Germany,18 °C,2023-08-05 13:29:58.652958
63,Accra,Ghana,24 °C,2023-08-05 13:29:58.652958
64,Gibraltar,Gibraltar,21 °C,2023-08-05 13:29:58.652958
65,Athens,Greece,30 °C,2023-08-05 13:29:58.652958
66,Nuuk,Greenland,7 °C,2023-08-05 13:29:58.652958
67,Saint George's,Grenada,29 °C,2023-08-05 13:29:58.652958
68,Guatemala City,Guatemala,19 °C,2023-08-05 13:29:58.652958
69,Conakry,Guinea,26 °C,2023-08-05 13:29:58.652958
70,Bissau,Guinea-Bissau,25 °C,2023-08-05 13:29:58.652958
71,Georgetown,Guyana,25 °C,2023-08-05 13:29:58.652958
72,Port-au-Prince,Haiti,29 °C,2023-08-05 13:29:58.653963
73,Tegucigalpa,Honduras,21 °C,2023-08-05 13:29:58.653963
74,Budapest,Hungary,24 °C,2023-08-05 13:29:58.653963
75,Reykjavik,Iceland,11 °C,2023-08-05 13:29:58.653963
76,Delhi,India,29 °C,2023-08-05 13:29:58.653963
77,Jakarta Special Capital Region,Indonesia,32 °C,2023-08-05 13:29:58.653963
78,Tehran,Iran,35 °C,2023-08-05 13:29:58.653963
79,Baghdad,Iraq,30 °C,2023-08-05 13:29:58.653963
80,Dublin,Ireland,10 °C,2023-08-05 13:29:58.653963
81,Douglas,Isle of Man,12 °C,2023-08-05 13:29:58.653963
82,Jerusalem,Israel,26 °C,2023-08-05 13:29:58.653963
83,Rome,Italy,20 °C,2023-08-05 13:29:58.653963
84,Kingston,Jamaica,29 °C,2023-08-05 13:29:58.653963
85,Tokyo,Japan,31 °C,2023-08-05 13:29:58.653963
86,Amman,Jordan,18 °C,2023-08-05 13:29:58.653963
87,Astana,Kazakhstan,29 °C,2023-08-05 13:29:58.653963
88,Nairobi,Kenya,16 °C,2023-08-05 13:29:58.653963
89,Tarawa,Kiribati,30 °C,2023-08-05 13:29:58.653963
90,Pristina,Kosovo,25 °C,2023-08-05 13:29:58.653963
91,Kuwait City,Kuwait,43 °C,2023-08-05 13:29:58.653963
92,Bishkek,Kyrgyzstan,33 °C,2023-08-05 13:29:58.653963
93,Vientiane,Laos,25 °C,2023-08-05 13:29:58.653963
94,Riga,Latvia,20 °C,2023-08-05 13:29:58.653963
95,Beirut,Lebanon,31 °C,2023-08-05 13:29:58.653963
96,Monrovia,Liberia,24 °C,2023-08-05 13:29:58.653963
97,Vaduz,Liechtenstein,14 °C,2023-08-05 13:29:58.653963
98,Vilnius,Lithuania,24 °C,2023-08-05 13:29:58.653963
99,Luxembourg,Luxembourg,15 °C,2023-08-05 13:29:58.653963
100,Antananarivo,Madagascar,18 °C,2023-08-05 13:29:58.653963
101,Lilongwe,Malawi,16 °C,2023-08-05 13:29:58.653963
102,Kuala Lumpur,Malaysia,34 °C,2023-08-05 13:29:58.653963
103,Male,Maldives,32 °C,2023-08-05 13:29:58.653963
104,Bamako,Mali,26 °C,2023-08-05 13:29:58.653963
105,Valletta,Malta,26 °C,2023-08-05 13:29:58.653963
106,Majuro,Marshall Islands,29 °C,2023-08-05 13:29:58.653963
107,Port Louis,Mauritius,20 °C,2023-08-05 13:29:58.653963
108,Ciudad de México,Mexico,16 °C,2023-08-05 13:29:58.653963
109,Pohnpei,Micronesia,31 °C,2023-08-05 13:29:58.653963
110,Chișinău,Moldova,26 °C,2023-08-05 13:29:58.653963
