,Country,City,Temparature-in-Celcius,Extraction-Datetime
0,Albania,Tirana,19,2023-08-05 15:13:52.256454
1,Algeria,Algiers,24,2023-08-05 15:13:52.256454
2,Angola,Luanda,22,2023-08-05 15:13:52.256454
3,Antigua and Barbuda,Saint John's,28,2023-08-05 15:13:52.256454
4,Argentina,Buenos Aires,10,2023-08-05 15:13:52.256454
5,Armenia,Yerevan,24,2023-08-05 15:13:52.256454
6,Aruba,Oranjestad,28,2023-08-05 15:13:52.256454
7,Australia,Canberra,10,2023-08-05 15:13:52.256454
8,Austria,Vienna,18,2023-08-05 15:13:52.256454
9,Azerbaijan,Baku,31,2023-08-05 15:13:52.256454
10,Bahamas,Nassau,27,2023-08-05 15:13:52.256454
11,Bahrain,Manama,40,2023-08-05 15:13:52.256454
12,Bangladesh,Dhaka,29,2023-08-05 15:13:52.256454
13,Barbados,Bridgetown,27,2023-08-05 15:13:52.256454
14,Belarus,Minsk,19,2023-08-05 15:13:52.256454
15,Belgium,Brussels,16,2023-08-05 15:13:52.256454
16,Belize,Belmopan,27,2023-08-05 15:13:52.256454
17,Benin,Porto Novo,27,2023-08-05 15:13:52.256454
18,Bermuda,Hamilton,25,2023-08-05 15:13:52.256454
19,Bosnia-Herzegovina,Sarajevo,19,2023-08-05 15:13:52.256454
20,Botswana,Gaborone,17,2023-08-05 15:13:52.256454
21,Brazil,Brasilia,14,2023-08-05 15:13:52.256454
22,British Virgin Islands,Road Town,28,2023-08-05 15:13:52.256454
23,Brunei,Bandar Seri Begawan,31,2023-08-05 15:13:52.256454
24,Bulgaria,Sofia,28,2023-08-05 15:13:52.256454
25,Burundi,Gitega,28,2023-08-05 15:13:52.256454
26,Cabo Verde,Praia,26,2023-08-05 15:13:52.256454
27,Cambodia,Phnom Penh,34,2023-08-05 15:13:52.256454
28,Cameroon,Yaoundé,22,2023-08-05 15:13:52.256454
29,Canada,Ottawa,13,2023-08-05 15:13:52.256454
30,Central African Republic,Bangui,28,2023-08-05 15:13:52.256454
31,Chad,N'Djamena,27,2023-08-05 15:13:52.256454
32,Chile,Santiago,7,2023-08-05 15:13:52.256454
33,China,Beijing,36,2023-08-05 15:13:52.256454
34,Colombia,Bogota,11,2023-08-05 15:13:52.256454
35,Comoros,Moroni,31,2023-08-05 15:13:52.256454
36,Congo,Brazzaville,25,2023-08-05 15:13:52.256454
37,Congo Dem. Rep.,Kinshasa,25,2023-08-05 15:13:52.256454
38,Cook Islands,Rarotonga,22,2023-08-05 15:13:52.256454
39,Costa Rica,San Jose,24,2023-08-05 15:13:52.256454
40,Cote d'Ivoire (Ivory Coast),Yamoussoukro,23,2023-08-05 15:13:52.256454
41,Croatia,Zagreb,18,2023-08-05 15:13:52.256454
42,Cuba,Havana,24,2023-08-05 15:13:52.257453
43,Cyprus,Nicosia,37,2023-08-05 15:13:52.257453
44,Cyprus,North Nicosia,37,2023-08-05 15:13:52.257453
45,Czechia,Prague,17,2023-08-05 15:13:52.257453
46,Denmark,Copenhagen,17,2023-08-05 15:13:52.257453
47,Djibouti,Djibouti,42,2023-08-05 15:13:52.257453
48,Dominica,Roseau,26,2023-08-05 15:13:52.257453
49,Dominican Republic,Santo Domingo,26,2023-08-05 15:13:52.257453
50,Egypt,Cairo,33,2023-08-05 15:13:52.257453
51,El Salvador,San Salvador,28,2023-08-05 15:13:52.257453
52,Equatorial Guinea,Malabo,26,2023-08-05 15:13:52.257453
53,Estonia,Tallinn,21,2023-08-05 15:13:52.257453
54,Eswatini,Mbabane,18,2023-08-05 15:13:52.257453
55,Ethiopia,Addis Ababa,19,2023-08-05 15:13:52.257453
56,Falkland Islands,Stanley,1,2023-08-05 15:13:52.257453
57,Fiji,Suva,21,2023-08-05 15:13:52.257453
58,Finland,Helsinki,21,2023-08-05 15:13:52.257453
59,France,Paris,15,2023-08-05 15:13:52.257453
60,Gabon,Libreville,24,2023-08-05 15:13:52.257453
61,Gambia,Banjul,30,2023-08-05 15:13:52.257453
62,Georgia,Tbilisi,25,2023-08-05 15:13:52.257453
63,Germany,Berlin,19,2023-08-05 15:13:52.257453
64,Ghana,Accra,26,2023-08-05 15:13:52.257453
65,Gibraltar,Gibraltar,22,2023-08-05 15:13:52.257453
66,Greece,Athens,30,2023-08-05 15:13:52.257453
67,Greenland,Nuuk,7,2023-08-05 15:13:52.257453
68,Grenada,Saint George's,28,2023-08-05 15:13:52.257453
69,Guatemala,Guatemala City,19,2023-08-05 15:13:52.257453
70,Guinea,Conakry,27,2023-08-05 15:13:52.257453
71,Guinea-Bissau,Bissau,28,2023-08-05 15:13:52.257453
72,Guyana,Georgetown,24,2023-08-05 15:13:52.257453
73,Haiti,Port-au-Prince,28,2023-08-05 15:13:52.257453
74,Honduras,Tegucigalpa,20,2023-08-05 15:13:52.257453
75,Hungary,Budapest,24,2023-08-05 15:13:52.257453
76,Iceland,Reykjavik,11,2023-08-05 15:13:52.257453
77,India,New Delhi,29,2023-08-05 15:13:52.257453
78,Indonesia,Jakarta,32,2023-08-05 15:13:52.257453
79,Iran,Tehran,37,2023-08-05 15:13:52.257453
80,Iraq,Baghdad,30,2023-08-05 15:13:52.257453
81,Ireland,Dublin,12,2023-08-05 15:13:52.257453
82,Isle of Man,Douglas,14,2023-08-05 15:13:52.257453
83,Israel,Jerusalem,28,2023-08-05 15:13:52.257453
84,Italy,Rome,23,2023-08-05 15:13:52.257453
85,Jamaica,Kingston,29,2023-08-05 15:13:52.257453
